Sl. No.,Location Type,Location Name,Latitude,Longitude,Station ID,,,,
27,Hotspot,Ashoknagar Hotspot,26.78069483,83.38210959,GUFEW069,,,,
1,Hotspot,Bade Kajipur Hotspot,26.76069283,83.35525946,GUFEW038,,,,
2,Hotspot,Bargaon,26.716729,83.38753,GUFEW003,,,,
4,Hotspot,Basharatpur Hotspot,26.790753,83.391821,GUFEW059,,,,
5,Hotspot,"Basharatpur West, Ramjanki Nagar",26.77955631,83.37057107,GUFEW068,,,,
3,Hotspot,Basharatpura (Near Ashoknagar PS),26.77648,83.37949,GUFEW048,,,,
32,Hotspot,Betiyahata Pumping Station,26.73710748,83.3640665,GUFEW007,,,,
7,Hotspot,Bharwalia,26.722334,83.38737,GUFEW042,,,,
8,Hotspot,"Bobina Road, Hazaripur",26.76122186,83.36317068,GUFEW023,,,,
9,Hotspot,Buddh Vihar Part A,26.73801634,83.37780993,GUFEW041,,,,
35,Hotspot,Chaksa Hussain Pachperwa,26.77619419,83.3669874,GUFEW030,,,,
39,Hotspot,"Digvijay Nagar, Basharatpur West",26.78386395,83.37219109,GUFEW067,,,,
44,Hotspot,"Harhwa Fatak Road, Basharatpur",26.77813935,83.374405,GUFEW010,,,,
10,Hotspot,Haridwarpuram Hotspot,26.78050833,83.37869444,GUFEW051,,,,
11,Hotspot,Hp defense academy,26.750331,83.43754,GUFEW049,,,,
12,Hotspot,Jharwa,26.72062,83.36468,GUFEW046,,,,
13,Hotspot,Khaletola / Khorabar / Jangalsikari,26.713016,83.45097,,,,,
57,Hotspot,Mahui Sugharpur / Fulwariya,26.72178028,83.37508738,GUFEW047,,,,
14,Hotspot,"Professor Colony, Basharatpur West",26.78309548,83.37203726,GUFEW071,,,,
15,Hotspot,Rail Vihar Colony Phase 3,26.71316635,83.40460659,GUFEW050,,,,
71,Hotspot,Rajnagar Pumping Station,26.79303895,83.38764208,GUFEW058,,,,
16,Hotspot,Ramjanakinagar / Ganga Tola,26.795323,83.37886,GUFEW053,,,,
17,Hotspot,Ramjanki Nagar Hotspot,26.7885725,83.37363173,GUFEW054,,,,
18,Hotspot,"Raneedeeh, Raptinagar Ph-4",26.724024,83.4414,,,,,
80,Hotspot,Surajkund Colony / Grenncity Pumping Station,26.78233157,83.34740095,GUFEW055,,,,
19,Hotspot,Swarna City,26.741442,83.42962,GUFEW056,,,,
20,Hotspot,Tiwaripur Thana Road,26.76164166,83.34556855,GUFEW021,,,,
21,Hotspot,Vasundharanagar (Pumping Station),26.735832,83.42723,GUFEW078,,,,
22,Hotspot,Vishnupuram colony,26.77336764,83.37989294,GUFEW072,,,,
23,Nala_Sensor,Abakari Office,26.74963657,83.37614321,GUFEW015,,,,
24,Nala_Sensor,"Aditya Nagar, Surajkund Colony",26.76451693,83.35750294,GUFEW035,,,,
25,Nala_Sensor,Akshaibar Singh Marg,26.75272135,83.3811888,GUFEW080,,,,
26,Nala_Sensor,Ashok Nagar Nala,26.77518961,83.38295864,GUFEW052,,,,
28,Nala_Sensor,Bade Kajipur,26.75821841,83.35323367,GUFEW005,,,,
29,Nala_Sensor,"Badgu Road, Prayagpuram Colony",26.72262214,83.37020415,GUFEW036,,,,
30,Nala_Sensor,Bargadwa Nala,26.78987774,83.35108616,GUFEW009,,,,
31,Nala_Sensor,Basantpur Nala,26.737372,83.359022,GUFEW002,,,,
33,Nala_Sensor,"Bhagat Chauraha, Taramandal Road",26.72219758,83.38962197,,,,,
34,Nala_Sensor,Bhagwati Chaurahe,26.78965004,83.36031946,GUFEW062,,,,
36,Nala_Sensor,"Chaudhary Gali, Qazipur Khurd",26.74507778,83.36036389,GUFEW045,,,,
37,Nala_Sensor,Daudpur,26.74010821,83.37461506,GUFEW040,,,,
38,Nala_Sensor,Dharmshala Bazar Nala,26.758963,83.369607,GUFEW006,,,,
40,Nala_Sensor,"Durgabadi Road, Kalyanpur",26.76465428,83.34860709,GUFEW017,,,,
41,Nala_Sensor,"Geeta Vatika Road, Shahpur",26.77159587,83.38505309,GUFEW057,,,,
42,Nala_Sensor,"Ghasikatra Road, Rahmat Nagar",26.75520659,83.35287243,GUFEW016,,,,
