Id,Name,,GPS_Lat,GPS_Long
1,24th Dy of BRLBC,,13.87805556,75.67555556
2,26th Dy of BRLBC,,13.89888889,75.67027778
3,27th  Dy of BRLBC,,13.89833333,75.66777778
4,28thDy of BRLBC,,13.89916667,75.65055556
5,1st Dy of BRRBC,,13.67555556,75.68055556
6,2nd Dy of BRRBC,,13.69222222,75.69777778
7,5th Dy of BRRBC,,13.71888889,75.72527778
8,6th Dy of BRRBC,,13.74361111,75.74111111
9,7th Dy of BRRBC,,13.74416667,75.74222222
10,8th Dy of BRRBC,,13.75055556,75.75138889
11,11th Dy of BRRBC,,13.69194444,75.70166667
12,13th  Dy of BRRBC,,13.69166667,75.71166667
13,20th Dy of BRRBC,,13.97027778,75.77166667
14,22nd Dy of BRRBC,,13.9875,75.77305556
15,R-1  BRRBC,,14.00555556,75.815
16,Anvery Branch Canal,,14.00555556,75.8125
17,10th Dy of ABC,,14.11138889,75.7425
18,19th Dy of ABC,,14.16833333,75.715
19,R-2 (HR of MBC),,14.1375,75.85916667
20,6th Z/D of SA  MBC,,14.20166667,75.82277778
21,7th Dy of SA  MBC,,14.23388889,75.80416667
22,1st Dy of MBC,,14.24527778,75.69555556
23,3rd  Dy of MBC,,14.26166667,75.78805556
24,4th  Dy of MBC,,14.27555556,75.78416667
25,6th  Dy of MBC,,14.29916667,75.76916667
26,9th 'A' & 'B' Comband Dy of MBC,,14.33027778,75.75055556
27,8th  Dy of MBC,,14.33027778,75.75055556
29,9th 'A' Dy of MBC,,14.33027778,75.75055556
30,9th 'B'  Dy of MBC,,14.33027778,75.75055556
31,10th  Dy of MBC,,14.34916667,75.73416667
32,12th  Dy of MBC,,14.36305556,75.71888889
33,13th  Dy of MBC,,14.40027778,75.70888889
34,14th &14th 'A'   Dy of MBC,,14.41027778,75.71305556
35,15th  Dy of MBC,,14.42555556,75.72305556
36,16th  Dy of MBC,,14.43805556,75.73305556
37,17th  Dy of MBC,,14.43805556,75.73305556
38,R-2 (HR of DBC),,14.1375,75.85916667
39,1st zone Dy of DBC,,14.17388889,75.93
40,2nd zone Dy of DBC,,14.18138889,75.98666667
41,3rd zone Dy of DBC,,14.20666667,76.00777778
42,5th Zone  Dy of DBC,,14.26666667,76.01916667
43,6A Dy of DBC,,14.29,76.00805556
44,6B  Dy of DBC,,14.325,76.00555556
45,6 C1  Dy of DBC,,14.32944444,76.00555556
46,7th Zone  Dy of DBC,,14.35305556,75.9925
47,R3 Regulator of HBC,,14.38055556,75.97555556
48,14th  Dy of DBC,,14.45555556,75.97916667
49,15th Distry,,14.47416667,75.97305556
50,Regulator No.4,,14.4975,75.96638889
51,Regulator No.5,,14.54027778,75.97138889
52,8th A dy of HBC,,14.37916667,75.96416667
53,8th B  dy of HBC,,14.39888889,75.95055556
54,10th Zone  dy of HBC,,14.42416667,75.9075
55,12th -A-  dy of HBC,,14.45166667,75.86416667
56,12th -B-  dy of HBC,,14.45166667,75.86416667
57,13th  dy of HBC,,14.47777778,75.87305556
59,8th & 9th 'A' & 'B' Comband Dy of MBC,,14.33027778,75.75055556
60,R-2 (HR of DBC) U/S,,14.1375,75.85916667
