SensorDataId,Timestamp,PercentageWater,StationId,LocationName,Latitude,Longitude,LocationType
20737,02:58.0,70.31,GUFEW040,Daudpur,26.740212,83.374497,Nala
20737,02:58.0,70.31,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20736,47:58.0,69.98,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20736,47:58.0,69.98,GUFEW040,Daudpur,26.740212,83.374497,Nala
20735,32:58.0,70.04,GUFEW040,Daudpur,26.740212,83.374497,Nala
20735,32:58.0,70.04,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20734,17:58.0,70.24,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20734,17:58.0,70.24,GUFEW040,Daudpur,26.740212,83.374497,Nala
20733,15:59.0,18.76,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20732,15:59.0,65.16,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20732,15:59.0,65.16,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20731,02:58.0,70,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20731,02:58.0,70,GUFEW040,Daudpur,26.740212,83.374497,Nala
20730,47:58.0,69.66,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20730,47:58.0,69.66,GUFEW040,Daudpur,26.740212,83.374497,Nala
20729,32:58.0,70.33,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20729,32:58.0,70.33,GUFEW040,Daudpur,26.740212,83.374497,Nala
20728,17:58.0,70.13,GUFEW040,Daudpur,26.740212,83.374497,Nala
20728,17:58.0,70.13,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20727,02:58.0,70.04,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20727,02:58.0,70.04,GUFEW040,Daudpur,26.740212,83.374497,Nala
20726,00:59.0,17.95,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20725,00:59.0,64.47,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20725,00:59.0,64.47,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20724,47:58.0,70.19,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20724,47:58.0,70.19,GUFEW040,Daudpur,26.740212,83.374497,Nala
20723,32:58.0,69.75,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20723,32:58.0,69.75,GUFEW040,Daudpur,26.740212,83.374497,Nala
20722,17:58.0,69.9,GUFEW040,Daudpur,26.740212,83.374497,Nala
20722,17:58.0,69.9,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20721,02:58.0,69.92,GUFEW040,Daudpur,26.740212,83.374497,Nala
20721,02:58.0,69.92,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20720,47:58.0,69.71,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20720,47:58.0,69.71,GUFEW040,Daudpur,26.740212,83.374497,Nala
20719,45:59.0,18.75,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20718,45:59.0,64.94,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20718,45:59.0,64.94,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20717,32:58.0,69.95,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20717,32:58.0,69.95,GUFEW040,Daudpur,26.740212,83.374497,Nala
20716,17:58.0,69.75,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20716,17:58.0,69.75,GUFEW040,Daudpur,26.740212,83.374497,Nala
20715,02:58.0,70.25,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20715,02:58.0,70.25,GUFEW040,Daudpur,26.740212,83.374497,Nala
20714,47:58.0,70.29,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20714,47:58.0,70.29,GUFEW040,Daudpur,26.740212,83.374497,Nala
20713,32:58.0,69.75,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20713,32:58.0,69.75,GUFEW040,Daudpur,26.740212,83.374497,Nala
20712,30:59.0,18.36,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20711,30:59.0,64.52,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20711,30:59.0,64.52,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20710,17:58.0,70.06,GUFEW040,Daudpur,26.740212,83.374497,Nala
20710,17:58.0,70.06,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20709,02:58.0,69.71,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20709,02:58.0,69.71,GUFEW040,Daudpur,26.740212,83.374497,Nala
20708,47:58.0,69.91,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20708,47:58.0,69.91,GUFEW040,Daudpur,26.740212,83.374497,Nala
20707,32:58.0,70.05,GUFEW040,Daudpur,26.740212,83.374497,Nala
20707,32:58.0,70.05,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20706,17:58.0,70.15,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20706,17:58.0,70.15,GUFEW040,Daudpur,26.740212,83.374497,Nala
20705,15:59.0,19.23,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20704,15:59.0,64.42,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20704,15:59.0,64.42,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20703,02:58.0,69.65,GUFEW040,Daudpur,26.740212,83.374497,Nala
20703,02:58.0,69.65,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20702,47:58.0,70.15,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20702,47:58.0,70.15,GUFEW040,Daudpur,26.740212,83.374497,Nala
20701,32:58.0,70.09,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20701,32:58.0,70.09,GUFEW040,Daudpur,26.740212,83.374497,Nala
20700,17:58.0,70.17,GUFEW040,Daudpur,26.740212,83.374497,Nala
20700,17:58.0,70.17,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20699,02:58.0,70.28,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20699,02:58.0,70.28,GUFEW040,Daudpur,26.740212,83.374497,Nala
20698,00:59.0,18.65,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20697,00:59.0,64.9,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20697,00:59.0,64.9,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20696,47:58.0,70.08,GUFEW040,Daudpur,26.740212,83.374497,Nala
20696,47:58.0,70.08,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20695,32:58.0,69.96,GUFEW040,Daudpur,26.740212,83.374497,Nala
20695,32:58.0,69.96,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
