SensorDataId,Timestamp,PercentageWater,StationId,LocationName,Latitude,Longitude
20841,32:58.0,69.66,GUFEW040,Daudpur,26.74010821,83.37461506
20840,17:58.0,69.91,GUFEW040,Daudpur,26.74010821,83.37461506
20839,02:58.0,69.94,GUFEW040,Daudpur,26.74010821,83.37461506
20838,00:59.0,19.15,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263
20837,00:59.0,64.88,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721
20837,00:59.0,64.88,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721
20836,47:58.0,69.98,GUFEW040,Daudpur,26.74010821,83.37461506
20835,32:58.0,69.72,GUFEW040,Daudpur,26.74010821,83.37461506
20834,17:58.0,69.92,GUFEW040,Daudpur,26.74010821,83.37461506
20833,02:58.0,69.83,GUFEW040,Daudpur,26.74010821,83.37461506
20832,47:58.0,70.12,GUFEW040,Daudpur,26.74010821,83.37461506
20831,45:59.0,18.65,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263
20830,45:59.0,64.78,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721
20830,45:59.0,64.78,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721
20829,32:58.0,69.99,GUFEW040,Daudpur,26.74010821,83.37461506
20828,17:58.0,70.26,GUFEW040,Daudpur,26.74010821,83.37461506
20827,02:58.0,70.05,GUFEW040,Daudpur,26.74010821,83.37461506
20826,47:58.0,70.4,GUFEW040,Daudpur,26.74010821,83.37461506
20825,32:58.0,69.92,GUFEW040,Daudpur,26.74010821,83.37461506
20824,30:59.0,18.27,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263
20823,30:59.0,64.67,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721
20823,30:59.0,64.67,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721
20822,17:58.0,69.73,GUFEW040,Daudpur,26.74010821,83.37461506
20821,02:58.0,70.34,GUFEW040,Daudpur,26.74010821,83.37461506
20820,47:58.0,70.19,GUFEW040,Daudpur,26.74010821,83.37461506
20819,32:58.0,70.02,GUFEW040,Daudpur,26.74010821,83.37461506
20818,17:58.0,70.13,GUFEW040,Daudpur,26.74010821,83.37461506
