Id,StationId,LocationId,TimeStamp,MobileNumber,Battery,RainHourly,RainDaily,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag
1,GUFEW111,18,2024-10-24 19:45:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:26.000,1,0,0,NULL,1
55,GUFEW111,18,2024-10-25 09:15:00.0000000," 9876543210",12.00,0.00,0.00,2024-10-29 15:31:27.000,1,0,0,NULL,1
110,GUFEW111,18,2024-10-25 22:45:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:27.000,1,0,0,NULL,1
165,GUFEW111,18,2024-10-26 12:30:00.0000000," 9876543210",12.30,0.00,0.00,2024-10-29 15:31:27.000,1,0,0,NULL,1
220,GUFEW111,18,2024-10-27 02:45:00.0000000," 9876543210",11.20,0.00,1.00,2024-10-29 15:31:27.000,1,0,0,NULL,1
275,GUFEW111,18,2024-10-27 13:30:00.0000000," 9876543210",12.30,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
336,GUFEW111,18,2024-10-27 21:00:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
396,GUFEW112,19,2024-10-28 04:15:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
454,GUFEW111,18,2024-10-28 11:45:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
514,GUFEW111,18,2024-10-28 19:00:00.0000000," 9876543210",11.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
515,GUFEW112,19,2024-10-28 19:00:00.0000000,,11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
516,GUFEW112,19,2024-10-28 19:15:00.0000000,,11.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
1002,GUFEW111,18,2024-10-28 19:15:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
1003,GUFEW111,18,2024-10-28 19:30:00.0000000," 9876543210",11.50,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
1004,GUFEW112,19,2024-10-28 19:30:00.0000000,,11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2002,GUFEW111,18,2024-10-28 19:45:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2003,GUFEW112,19,2024-10-28 19:45:00.0000000,,11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2004,GUFEW112,19,2024-10-28 20:00:00.0000000,,11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2005,GUFEW111,18,2024-10-28 20:00:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2006,GUFEW111,18,2024-10-28 20:15:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2007,GUFEW112,19,2024-10-28 20:15:00.0000000,,11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2008,GUFEW111,18,2024-10-28 20:30:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2009,GUFEW112,19,2024-10-28 20:30:00.0000000,,11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2010,GUFEW111,18,2024-10-28 20:45:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2011,GUFEW112,19,2024-10-28 20:45:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2012,GUFEW112,19,2024-10-28 21:00:00.0000000,,11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2014,GUFEW111,18,2024-10-28 21:00:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2015,GUFEW111,18,2024-10-28 21:15:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2013,GUFEW112,19,2024-10-28 21:15:00.0000000,,11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2016,GUFEW111,18,2024-10-28 21:30:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2017,GUFEW112,19,2024-10-28 21:30:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2018,GUFEW112,19,2024-10-28 21:45:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2019,GUFEW111,18,2024-10-28 21:45:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2020,GUFEW111,18,2024-10-28 22:00:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2022,GUFEW112,19,2024-10-28 22:00:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2023,GUFEW112,19,2024-10-28 22:15:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
