clientid,latitude,longitude,location,block,district,rain,temp,wind,winddirection,humidity,ldate,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag,Id
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,33.1,0,0,57.8,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53401
10265,26.871763,83.35824,VILL-PARMESHWARPUR,CHARGAWAN,Gorakhpur,0,33,0,0,58.5,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53404
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,32.4,1,192,55,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53408
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,34.3,0,0,51.3,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53410
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,33.1,0,0,52.5,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53420
10226,26.770552,83.278915,PANCHAYAT GOVINDPUR,TIKRIYA,Gorakhpur,0,33.1,0,0,60.1,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53422
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,32.1,2,272,55.1,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53425
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,34.2,0,0,56.5,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53428
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,32.3,0,0,61.3,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53433
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,31.7,0,0,63.2,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53436
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,32.3,0,0,59,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53448
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,31.7,0,0,64.7,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53456
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,32.8,0,0,54.9,10/29/2024 11:00,10/29/2024 11:55,1,0,0,NULL,1,53472
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,32.7,0,0,56.2,10/29/2024 11:30,10/29/2024 11:55,1,0,0,NULL,1,53917
10265,26.871763,83.35824,VILL-PARMESHWARPUR,CHARGAWAN,Gorakhpur,0,34.1,0,0,52.7,10/29/2024 11:30,10/29/2024 11:55,1,0,0,NULL,1,53920
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,33.4,0,348,57.4,10/29/2024 11:30,10/29/2024 11:55,1,0,0,NULL,1,53924
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,34.8,0,0,51.3,10/29/2024 11:30,10/29/2024 11:55,1,0,0,NULL,1,53926
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,33.1,0,0,54,10/29/2024 11:15,10/29/2024 11:55,1,0,0,NULL,1,53932
10226,26.770552,83.278915,PANCHAYAT GOVINDPUR,TIKRIYA,Gorakhpur,0,33.5,0,0,57.9,10/29/2024 11:30,10/29/2024 11:55,1,0,0,NULL,1,53935
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,32.6,1,256,52.1,10/29/2024 11:30,10/29/2024 11:55,1,0,0,NULL,1,53937
