NalaId,Name,WardNumber,WardName,CouncillorPhoneNumber,CouncillorName,JuniorEngineer,Zone,Pincode,Latitude,Longitude,GoogleMapsLink
2,K_J6304,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.73907,83.42451,"""https://www.google.com/maps?q=26.739072333378154,83.42451225126659"""
3,K_J6448,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.71812,83.42628,"""https://www.google.com/maps?q=26.71812253873126,83.42628484561475"""
4,K_J6449,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.71848,83.42536,"""https://www.google.com/maps?q=26.718479721503538,83.4253594939646"""
5,K_J6450,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.71957,83.42579,"""https://www.google.com/maps?q=26.71956976985128,83.42578897681898"""
6,K_J6451,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.71961,83.4258,"""https://www.google.com/maps?q=26.719614576816827,83.42580255865536"""
7,K_J6452,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.72029,83.42608,"""https://www.google.com/maps?q=26.72028994716108,83.42608280926754"""
8,K_J6476,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.71691,83.42848,"""https://www.google.com/maps?q=26.71690884941067,83.4284846514635"""
9,K_J6477,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.7176,83.42702,"""https://www.google.com/maps?q=26.717602139549793,83.42702463502252"""
10,K_J6478,1,Mahadev Jharkhandi Tukra Number 1,9236478001,Sri Aravind,Sri Avinish Bharathi,0,273001,26.71835,83.42533,"""https://www.google.com/maps?q=26.718345340386392,83.4253306581622"""
11,J225,2,Baba Raghav Das Nagar,9236478002,Srimathi Bala,Sri Authul Kumar,4,273013,26.81128,83.39739,"""https://www.google.com/maps?q=26.81127652125993,83.39738902878047"""
12,J226,2,Baba Raghav Das Nagar,9236478002,Srimathi Bala,Sri Authul Kumar,4,273013,26.81049,83.39681,"""https://www.google.com/maps?q=26.810486556996167,83.39681496248944"""
13,J227,2,Baba Raghav Das Nagar,9236478002,Srimathi Bala,Sri Authul Kumar,4,273013,26.80898,83.39567,"""https://www.google.com/maps?q=26.808977888270984,83.39567081722062"""
