SensorDataId,Timestamp,PercentageWater,StationId,LocationName,Latitude,Longitude,ActionItem
3410,2/1/2025 23:47,69.84,GUFEW040,Daudpur,26.74010821,83.37461506,TaskAssigned
3409,2/1/2025 23:47,93.55,GUFEW012,Taramandal,26.73835864,83.38702733,TaskNotAssigned
3408,2/1/2025 23:46,49.6,GUFEW002,Basantpur Nala,26.737485,83.35911,AutoPumpDeployed
3407,2/1/2025 23:46,42.1,GUFEW022,"Patel Chowk, Shakti Nagar Colony",26.72829493,83.37096216,TaskAssigned
3406,2/1/2025 23:45,64.89,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,TaskNotAssigned
3405,2/1/2025 23:45,74,GUFEW047,Mahui Sugharpur / Fulwariya,26.72178028,83.37508738,AutoPumpDeployed
3404,2/1/2025 23:45,69.34,GUFEW079,"Mandi Rd, Mahuesugharpur",26.73148477,83.36310874,TaskAssigned
3403,2/1/2025 23:45,59.2,GUFEW018,Samay Mata Mandir Road,26.737858,83.358547,TaskAssigned
3402,2/1/2025 23:45,81.23,GUFEW036,"Badgu Rd, Prayagpuram Colony",26.72416624,83.369582,TaskAssigned
3401,2/1/2025 23:45,17.65,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,TaskAssigned
3400,2/1/2025 23:45,57.94,GUFEW013,"Narmal Taxi Stand, Raiganj",26.74080944,83.36009261,TaskAssigned
3399,2/1/2025 23:32,69.62,GUFEW040,Daudpur,26.74010821,83.37461506,TaskAssigned
3398,2/1/2025 23:32,93.65,GUFEW012,Taramandal,26.73835864,83.38702733,TaskAssigned
3397,2/1/2025 23:31,49.5,GUFEW002,Basantpur Nala,26.737485,83.35911,TaskAssigned
3396,2/1/2025 23:31,40.91,GUFEW022,"Patel Chowk, Shakti Nagar Colony",26.72829493,83.37096216,TaskAssigned
3395,2/1/2025 23:30,64.31,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,TaskAssigned
3394,2/1/2025 23:30,74.28,GUFEW047,Mahui Sugharpur / Fulwariya,26.72178028,83.37508738,TaskAssigned
3393,2/1/2025 23:30,69.38,GUFEW079,"Mandi Rd, Mahuesugharpur",26.73148477,83.36310874,TaskAssigned
3392,2/1/2025 23:30,59.22,GUFEW018,Samay Mata Mandir Road,26.737858,83.358547,TaskAssigned
3391,2/1/2025 23:30,80.95,GUFEW036,"Badgu Rd, Prayagpuram Colony",26.72416624,83.369582,TaskAssigned
3390,2/1/2025 23:30,17.85,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,TaskAssigned
3389,2/1/2025 23:30,58.43,GUFEW013,"Narmal Taxi Stand, Raiganj",26.74080944,83.36009261,TaskAssigned
3388,2/1/2025 23:17,69.94,GUFEW040,Daudpur,26.74010821,83.37461506,TaskAssigned
3387,2/1/2025 23:17,93.65,GUFEW012,Taramandal,26.73835864,83.38702733,TaskAssigned
3386,2/1/2025 23:16,49.91,GUFEW002,Basantpur Nala,26.737485,83.35911,TaskAssigned
